Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	pauciflora		87676	GCA_007663325.1	PRJNA450887		30/07/19	1	594528099	2989104	183614148	150	MaSuRCA v. 3.2.6	"Illumina HiSeq; Oxford Nanopore"	long	97,2	85,1	12,1	0,4	2,4			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	pumila		452574	GCA_016097595.1	PRJNA509734		16/12/20	1	529752966	2492893	151763244	41	Canu v. 2	Oxford Nanopore MinION	long	96	93,8	2,2	1,3	2,7			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	regnans		87681	GCA_014182855.1	PRJNA509734		13/08/20	1	494968939	5259260	140718537	46	Canu v. 1.9	Oxford Nanopore MinION	long	95,8	93,6	2,2	1,2	3			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	salubris		1711522	GCA_014182395.1	PRJNA509734		13/08/20	1	507934480	2396188	144615703	41	Canu v. 1.9	Oxford Nanopore MinION	long	96	93,5	2,5	1,5	2,5			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	sideroxylon		2660567	GCA_016097485.1	PRJNA509734		16/12/20	1	603574748	6217054	172616716	64	Canu v. 2	Oxford Nanopore MinION	long								Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	tenuipes		183854	GCA_014182365.1	PRJNA509734		13/08/20	1	397779230	3433868	114929189	46	Canu v. 1.9	Oxford Nanopore MinION	long	95,8	93,7	2,1	2	2,2			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	victrix		1230916	GCA_016097545.1	PRJNA509734		16/12/20	1	557158857	11095616	159333148	51	Canu v. 2	Oxford Nanopore MinION	long	95,3	91,6	3,7	2,2	2,5			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	viminalis		155764	GCA_014182385.1	PRJNA509734		13/08/20	1	558707134	652951	160005509	29	Canu v. 1.9	Oxford Nanopore MinION	long	95,5	92,6	2,9	1,6	2,9			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	virginea		2654258	GCA_014182375.1	PRJNA509734		13/08/20	1	532787365	2391637	152307889	44	Canu v. 1.9	Oxford Nanopore MinION	long	95,7	92,8	2,9	1,4	2,9			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	uniflora	Brazil-cherry	119951	GCA_004012085.1	PRJNA504673		11/01/19	1	3152134	1168	1017101	0,03	SPAdes v. 3.09	IonTorrent	short	0,3	0,3	0	1,9	97,8	22	2	Universidade Federal do Pampa	Brazil	South America	Cultivated
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	scoparium					https://doi.org/10.1080/01140671.2019.1657911	25/11/19		297000000														Plant & Food Research	New Zealand	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Metrosideros	polymorpha		101978	GCA_001662345.1	PRJDB4221		28/04/16	1	304365553	34364	94342601	176	Platanus v. 1.2.1	HiSeq2500	short	97,1	95,4	1,7	0,9	2			Forest Biology, Division of Forest and Biomaterials Science	Japan	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Psidium	guajava	guava	120290	GCA_016432845.1	PRJNA631442	https://doi.org/10.1111/pbi.13498	29/12/20	2	443755635	15807569	123482532	115	FALCON v. 0.3	PacBio Sequel	long	95,7	94,5	1,2	1,5	2,8	22	2	South China Botanical Garden	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Rhodamnia	argentea	silver malletwood	178133	GCA_900635035.1	PRJEB30444		07/02/19	2	414815504	63685	124207842	55		10x chromium		94,6	89,5	5,1	1,1	4,3			UNIVERSITY OF NEW SOUTH WALES	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	oleosum		219896	GCA_900635055.1	PRJEB30445		07/02/19	2	431290611	31039	124314281	50			short	94,3	92,3	2	2,8	2,9			UNIVERSITY OF NEW SOUTH WALES	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Euryale	ferox					Nature Plants: https://doi.org/10.1038/s41477-020-0594-6	24/02/20		725200000	4750000	768200000		Canu and Pilon	Oxford nanopore and Illumina	long								multiple 	USA and China	Multiple-North America and Asia	Wild
Tracheophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea	colorata		210225	GCA_902499525.1	PRJEB34452		24/09/19	3	409930971	2079871	126554216	124				88,5	86,8	1,7	3,2	8,3	28	2	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea	thermarum		419125	GCA_011799765.1	PRJNA508901		31/03/20	1	368003157	101860	301306430	60	"DISCOVAR v. FEB-2016; SSPACE v. MAR-2016; SNAP v. MAR-2016; AUGUSTUS v. MAR-2016; MAKER v. MAR-2016"	Illumina HiSeq	short	83,5	81,1	2,4	5,8	10,7	28	2	Harvard University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Oxalidales	Cephalotaceae	Cephalotus	follicularis		3775	GCA_001972305.1	PRJDB4484		11/01/17	1	1614517073	118750	1198658939	150	Allpaths-LG v. 42381, SSPACE v. 2.0, GapCloser v. 1.10, Sprai v. 0.2.2.3, PBJelly v. 12.9.14	"Illumina HiSeq 2000; PacBio RS"	long	92,5	90,7	1,8	1,8	5,7	20	2	National Institute for Basic Biology	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Oxalidales	Elaeocarpaceae	Aristotelia	chilensis		138855	GCA_008921755.1	PRJNA544858		08/10/19	2	96354398	2572	30966565	30	MaSuRCA v. 3.0	Illumina MiSeq	short	26,9	26,7	0,2	33,1	40			INIA	Italy	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Oxalidales	Oxalidaceae	Averrhoa	carambola					https://doi.org/10.1038/s41438-020-0307-3	01/06/20	2	335490000	4220000	357790000		Canu v1.7	Oxford nanopore and Illumina	long 								Fujian Agriculture and Forestry University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Pandanales	Velloziaceae	Xerophyta	viscosa		90708	GCA_002076135.1	PRJNA291133		31/03/17	1	295462401	1168296	93673423	75	FALCON v. JAN-2016	PacBio	long	89,9	79,4	10,5	2,5	7,6			Wageningen University	Netherlands	Europe	Wild
Tracheophyta	Magnoliopsida	Poales	Bromeliaceae	Ananas	bracteatus	wild pineapple 				doi: 10.1038/ng.3435	01/12/15		382000000	126500	526000000	408		Illumina, PacBio, 454, Moleculo	long								Fujian Agriculture and Forestry University	China	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Poales	Bromeliaceae	Ananas	comosus	pineapple	4615	GCA_902162155.2	PRJEB33121	https://doi.org/10.1038/s41588-019-0506-8	21/07/20	4	381905219	427000	108882733	100	FALCON and Pilon 	PacBio and Illumina	long	93,3	89,1	4,2	1,8	4,9			Fujian Agriculture and Forestry University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Poales	Cyperaceae	Carex	littledalei		544730	GCA_011114355.1	PRJNA540106		17/03/20	1	373852675	2548827	282808337	121,95	FALCON v. 0.3.0	PacBio Sequel	long	87	82	5	1,9	11,1			Tibet Academy of Agricultural and Animal Sciences			Wild
Tracheophyta	Magnoliopsida	Poales	Cyperaceae	Kobresia	littledalei					https://doi.org/10.1038/s41597-020-0518-3	11/06/20		373821983	2550000	415240000		FALCON v. 0.3.0	PacBio and Illumina	long 								Novogene Bioinformatics Institute	China	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Aegilops	tauschii		169297	GCA_001957025.1	PRJNA329335	multiple: https://doi.org/10.1038/nature24486 and NATURE PLANTS https://doi.org/10.1038/s41477-017-0067-8	19/01/17	2	4327207513	468757	1323794399	201	"MaSuRCA v. 3.2.1; Celera Assembler v. 8.3rc2"	"PacBio; Illumina HiSeq; Illumina MiSeq"	long	92,5	88,2	4,3	1,3	6,2			Johns Hopkins University	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Alloteropsis	semialata		435756	GCA_004135705.1	PRJNA481434		04/02/19	1	747191627	39235	203746745	200	"SOAPdenovo v. 2.04; Dbg2olc v. 11062016"	"Illumina HiSeq; PacBio"	long	82,7	77,6	5,1	4,2	13,1			University of Sheffield	United Kingdom	Europe	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Avena	atlantica					https://doi.org/10.1186/s12915-019-0712-y	22/11/19	1	3690000000	5544947	3720000000		Canu	PacBio and Illumina									Brigham Young University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Avena	eriantha					https://doi.org/10.1186/s12915-019-0712-y	22/11/19	1	3780000000	1358002	4170000000		Canu	PacBio and Illumina									Brigham Young University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Bonia	amplexicaulis					DOI:https://doi.org/10.1016/j.molp.2019.05.009	27/05/19	1	848000000	24038			SOAPdenovo  	Illumina	short								Shanghai Ocean University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Poales	Poaceae	Brachypodium	distachyon	stiff brome	15368	GCA_000005505.4	PRJNA32607		24/01/18	5	271163419	21988513	234812610	9,43	ARACHNE v. 20071016_modified	ABI 3739	short	95,5	94,5	1	1,00E+00	3,5	10	2	JGI-PGF	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Brachypodium	hybridum						7/29/2020	1	509000000	1128000			ALLPATHS ,  HiRiseTM assembler	PacBio and Illumina	long 								University California, Berkely and Unidad Asociada al CSIC	USA and Spain	Multiple-Europe and North America 	Wild 
Tracheophyta	Magnoliopsida	Poales	Poaceae	Brachypodium	stacei					https://doi.org/10.1038/s41467-020-17302-5	29/07/20		234000000	15000000			ALLPATHS  	PacBio and Illumina	long								University California, Berkeley	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Cenchrus	americanus	bulrush millet	4543	GCA_002174835.2	PRJNA294988	 https://doi.org/10.1038/nbt.3943	24/01/18	1	1816949023	18656	460375462	296	SOAPdenovo v. 2.04	Illumina HiSeq	short	86,5	84,4	2,1	4,1	9,4			Pearl Millet	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Cenchrus	purpureus					https://doi.org/10.1111/1755-0998.13271	11/10/20	1	1901035793	2031655	1971072983		NextDenovo	Nanoproe and Illumina	long 								nternational Livestock Research Institute and Guangxi Institute of Animal Sciences, Nanning	Kanya and China	Multiple-Asia and Africa 	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Chrysopogon	serrulatus		330583	GCA_015844335.1	PRJNA543119		08/12/20	1	930458658	212358	590110410	86	"Flye v. 1.4.2; Racon v. 1.3.1"		long	90	65,2	24,8	2,1	7,9			Cornell	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Cleistogenes	songorica					https://doi.org/10.1111/pbi.13483	22/09/20		540120000	21280000	552000000		Falcon v 0.3.0	PacBio and Illumina	long 								La Trobe University and Lanzhou University	China and Australia	Multiple-Asia and Oceania	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Coix	aquatica		79833	GCA_009725075.1	PRJNA509097		04/12/19	1	1615469127	2241760	445389174	50	Canu v. May-2018	PacBio Sequel	long	88,9	86,4	2,5	2,2	8,9			Sichuan Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Coix	lacryma-jobi	Chromosome	1156411	GCA_009763385.1	PRJNA544872		18/12/19	1	1731458735	3121225	468775455	238,6	HERA v. 2018	"Illumina HiSeq; PacBio RSII; PacBio Sequel"	long	88,7	84,6	4,1	2,6	8,7	20	4	CAU	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Dactylis	glomerata	orchard grass	4509	GCA_007115705.1	PRJNA471014		17/07/19	2	1781320693	1238511	528605879	86	FALCON v. 3.1	PacBio Sequel	long	91,8	88,5	3,3	1,2	7	14	2	Sichuan Agricultural University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Dichanthelium	oligosanthes		888268	GCA_001633215.2	PRJNA305932		29/09/16	1	589166415	12062	399721776	234	AllPaths v. 44837	Illumina HiSeq	short	85,8	84,9	0,9	3,2	11			University of Nebraska	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Digitaria	exilis		1010633	GCA_015342445.1	PRJNA640067	https://doi.org/10.1093/gigascience/giab013	10/11/20	2	760650579	1734059	629212913	80	Canu v. 1.8	PacBio	long	96,2	9,8	86,4	0,6	3,2	36	4	University of California, Davis	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Echinochloa	crus-galli	barnyard grass	90397	GCA_015022175.1	PRJNA665921		27/10/20	2	1340772715	2363233	417939706	92	canu v. 1.8	PacBio	long	95,3	7,2	88,1	0,4	4,3			Zhejiang University	China	Asia	Feral
Tracheophyta	Magnoliopsida	Poales	Poaceae	Eleusine	coracana	caracan millet	191504	GCA_002180455.1	PRJNA318349	doi: 10.3389/fpls.2018.01054	08/06/17	1	1195986209	5871	388336863	80	"SOAPdenovo v. March-2016; SSPACE v. 2.0; Gap Closer v. March-2016"	"Illumina NextSeq; Illumina HiSeq; SOLiD"	short	80,9	31,7	49,2	6,1	13	40	4	University of Agricultural Sciences	India	Asia	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Eleusine	indica	goosegrass	29674	GCA_003369855.1	PRJNA454287		10/08/18	1	492270386	32494	145970427	76	Velvet v. 1.2.08_ maxkmer101	Illumina HiSeq	short	93,5	91,3	2,2	2,4	4,1	20	2	Auburn University	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Eragrostis	curvula	weeping love grass	38414	GCA_007726485.1	PRJNA508722		05/08/19	1	603072269	342486	479780791	90	FALCON v. May-2016	"PacBio Sequel; Chicago; Hi-C"	long	93,5	77,4	16,1	1,5	5			CERZOS-CONICET	Argentina	South America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Eragrostis	nindensis		1262659	GCA_012490785.1	PRJNA622516		17/04/20	1	986199717	520980	308738003	63	CANU v. 1.8	PacBio	long	93,2	23,7	69,5	0,9	5,9			Michigan State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Eragrostis	tef	tef	110835	GCA_000970635.1	PRJNA253673		08/04/15	1	607317615	7532	158206057	54	SOAPdenovo v. MAY-2011	"Illumina HiSeq; 454"	short	90,8	28,7	62,1	2,7	6,5	40	4	Tef Genome Sequencing Initiative Webpage	Switzerland	Europe	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Hordeum	bulbosum		4516	GCA_900070015.1	PRJEB3403		22/02/17	1	1294872816	498	466559110	9			short	30,5	29,9	0,6	31,4	38,1	14	2	IPK-Gatersleben	Germany	Europe	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Hordeum	pubiflorum		112521	GCA_000582825.1	PRJEB3404		30/08/13	1	1425274558	1475	498247451	19			short	74,4	73	1,4	13,9	11,7	14	2	IPK-Gatersleben	Germany	Europe	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Hordeum	vulgare	domesticated barley	112509	GCA_000326125.1	PRJEB88	https://doi.org/10.1038/sdata.2017.44	15/11/12	5	1779486241	1647	615499658				short	61,1	60,2	0,9	20,4	18,5	14	2	IPK-Gatersleben	Germany	Europe	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Hyparrhenia	diplandra		798322	GCA_015847255.1	PRJNA543119		08/12/20	1	2072009970	294320	1315168642	41	"Flye v. 1.4.2; Racon v. 1.3.1"		long	89,6	41,6	48	2,90E+00	7,5			Cornell	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Leersia	perrieri		77586	GCA_000325765.3	PRJNA163065		21/02/14	1	266687832	46324	78928556	150	AllPaths v. 44849	Illumina HiSeq	short	94,2	92,5	1,7	1,5	4,3			Arizona Genomics Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Lolium	perenne	perennial ryegrass	4522	GCA_001735685.1	PRJNA340873		20/09/16	1	481479386	965	166371762	5	CLC Genomic Workbench v. 7.4	Illumina MiSeq	short	29,2	28,6	0,6	31	39,8	14	2	rutgers university	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Miscanthus	lutarioriparius		422564	GCA_904845875.1	PRJEB40463		12/10/20	1	2074797027	1588283	1593983785	150			long	94,3	32,7	61,6	0,8	4,9			NCGR	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Miscanthus	sacchariflorus	Amur silver grass	183675	GCA_002993905.1	PRJNA435476		14/03/18	1	2074921001	2461	393733163	60	"ABySS v. 1.5.4; SOAPdenovo v. 2.r240"	Illumina HiSeq	short	52	42,5	9,5	19,1	28,9	38	2	Earlham Institute	United Kingdom	Europe	Cultivated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Olyra	latifolia					DOI:https://doi.org/10.1016/j.molp.2019.05.009	27/05/19	1	646000000	37557			SOAPdenovo  	Illumina	short								Shanghai Ocean University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oropetium	thomaeum		1148796	GCA_001182835.1	PRJNA286116		20/07/15	1	243174629	2386382	76249800	72	HGAP v. November-2014	PacBio	long	95	91,1	3,9	1,3	3,7	18	2	Donald Danforth Plant Science Center	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	barthii	African wild rice	65489	GCA_000182155.3	PRJNA30379		08/05/14	4	308272304	18926	89612655	110	"AllPaths v. 44849; Newbler v. 2.8"	"Illumina GAIIx; 454"	short	93,1	90,6	2,5	2,2	4,7	24	2	Oryza Chr3 Short Arm Comparative Sequencing Project	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	brachyantha	malo sina	4533	GCA_000231095.2	PRJNA70533	https://doi.org/10.1038/s41588-018-0040-0	19/01/12	2	259907595	20448	72293115	104	SOAPdenovo v. 1.04	Illumina GA II	short	90,2	89	1,2	4,3	5,5	24	2	The Institute of Genetics and Developmental Biology	China	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	coarctata		77588	GCA_009761635.1	PRJNA396417		17/12/19	1	569597242	234518	369639086	250,66	"PLATANUS v. 1.2.4; SSPACE v. 3.0"	"Illumina HiSeq; Oxford Nanopore"	long	94,9	67,9	27	1,2	3,9			National Bureau of Plant Genetic Resources, Pusa, IARI Campus, New Delhi-110012, India.	India	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	eichingeri					https://doi.org/10.1093/gbe/evaa037	03/03/20	1	471000000				Platanus v1.2.1	PacBio and Illumina	long 								National Institute of Genetics	Japan	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	glaberrima	African rice	4538	GCA_000147395.2	PRJNA13765		22/09/10	1	303294962	22955	90396390	30		454 Titanium	short	81,7	76,9	4,8	5	13,3	24	2	The Oryza Map Alignment Project (OMAP)	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	glumipatula		40148	GCA_000576495.1	PRJNA48429		26/02/14	1	372860283	31921	91228929	135	AllPaths v. 44849	Illumina HiSeq	short	95,2	93,4	1,8	1,1	3,7			Oryza Map Alignment Project (OMAP)	USA	North America	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	granulata					https://doi.org/10.1038/s41597-020-0470-2	29/04/20	1	736660000	43900	882000000		ALLPATHS-LG	Illumina and PacBio	long 								 South China Agricultural University	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	indica					https://doi.org/10.1038/ncomms15324	04/05/17		390300000	1100000			Canu , FALCON	PacBio	long								University of Chinese Academy of Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	longistaminata	long-staminate rice	4528	GCA_009805545.1	PRJNA545798		31/12/19	3	371348348	45317	103168742	442	"AllPaths v. Release 37250; PBjelly v. 2"	"Illumina HiSeq; PacBio RSII"	long	82,2	77,8	4,4	7,6	10,2	24	2	South China Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	meridionalis	Australian wild rice	40149	GCA_001551795.1	PRJNA305218		07/02/16	2	354610901	159640	114490911	40	Celera Assembler v. 8.3rc2	PacBio	long	82,4	76	6,4	4,3	13,3	24	2	The University of Queensland	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	meyeriana		110450	GCA_003991445.1	PRJNA412686		03/01/19	2	776957456	262045	250379023	102	"SOAPdenovo v. 2; Canu v. 1.0"	"Illumina GAII; PacBio"	long	92,2	89,8	2,4	2,4	5,4			Yunnan Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	nivara		4536	GCA_006942195.1	PRJNA439366		12/07/19	2	377674564	10214975	119936432	12	"CANU v. 1.0; WTDBG v. 1.0; Hi-C v. 1.0"	PacBio	long	95,9	93,2	2,7	0,6	3,5	24	2	Shenyang Agricultural University, China	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	officinalis		4535	GCA_008326285.1	PRJDB2223		23/08/19	1	584134210	367595	168385204	60	"Platanus v. 1.2.1; PBJelly v. 14.1.14; SSPACE v. 3.0; GapCloser v. 1.12"	"Illumina HiSeq2500; Pacific Bio RSII"	long	94,7	92,2	2,5	0,9	4,4	24	2	Plant Genetics Laboratory, Genetic Strain Stock Center, National Institute of Genetics, Research Organization of Information and Systems	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	punctata		4537	GCA_000573905.1	PRJNA13770		25/02/14	1	393816603	43035	114432240	130	AllPaths v. 44849	"Illumina HiSeq; 454"	short	94,2	90	4,2	1,4	4,4	24	2	The Oryza Map Alignment Project (OMAP)	USA	North America	Feral
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	rhizomatis					https://doi.org/10.1093/gbe/evaa037	03/03/20		559000000				Platanus v1.2.1	PacBio and Illumina	long 								National Institute of Genetics	Japan	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	rufipogon	common wild rice	4529	GCA_001551805.1	PRJNA305217		07/02/16	2	384518444	219409	123046369	40	Celera Assembler v. 8.3rc2	PacBio	long	90,2	86,9	3,3	2,7	7,1	24	2	The University of Queensland	Australia	Oceania	Feral
Tracheophyta	Magnoliopsida	Poales	Poaceae	Oryza	sativa	rice	4530	GCA_014636035.1	PRJNA644720	 https://doi.org/10.1093/gigascience/giaa123	18/09/20	49	397554159	32367127	114238494	230	NextDenovo v. 2.0-beta.1	Oxford Nanopore PromethION	long	96,1	93,6	2,5	0,8	3,1	24	2	GrandOmics Biosciences	China	Asia	Domesticated
